Drug,Indication,Total Women Reports,Total Men Reports,Percentage Women Reports,Percentage Men Reports,Percentage Serious Women Reports,Percentage Serious Men Reports,NCT Numbers
MET METFORMIN HYDROCHLORIDE,DIABETES,0,39,0,100,-1,100,[]
OMALIZUMAB,ASTHMA,61959,31470,66.32,33.68,97.09,95.82,"['NCT00870584', 'NCT00267202', 'NCT00377390', 'NCT01202903', 'NCT01430403', 'NCT01976208', 'NCT00482508', 'NCT04158050', 'NCT00232050', 'NCT00495612', 'NCT01912872', 'NCT00377572', 'NCT04998604', 'NCT00657891', 'NCT02049294', 'NCT06027073', 'NCT01125748', 'NCT01544348', 'NCT00500539', 'NCT00401596', 'NCT00208234', 'NCT00434434', 'NCT04665141', 'NCT01007149', 'NCT05813470', 'NCT00242359', 'NCT00109200', 'NCT00287378', 'NCT02921178', 'NCT00454051', 'NCT01716754', 'NCT01584687', 'NCT02570984', 'NCT00546143', 'NCT00219323', 'NCT05424523', 'NCT06316414', 'NCT01703312', 'NCT05332067', 'NCT01393340', 'NCT00639691', 'NCT00567476', 'NCT00162773', 'NCT00314574', 'NCT06438757', 'NCT00046748', 'NCT00482248', 'NCT00670930', 'NCT01328886', 'NCT04195958', 'NCT00367016', 'NCT00286416', 'NCT00264849', 'NCT00133042', 'NCT00226200', 'NCT01155700', 'NCT01113437', 'NCT00079937', 'NCT04778137', 'NCT01922037', 'NCT00396409', 'NCT03476109', 'NCT03727971', 'NCT00180011', 'NCT04585997', 'NCT02388997', 'NCT02654145', 'NCT02658877', 'NCT02023151', 'NCT00096954', 'NCT05157087', 'NCT00109187']"
FORMOTEROL / MOMETASONE,ASTHMA,199,173,53.49,46.51,98.49,90.17,[]
ADVAIR 250 DISKUS,ASTHMA,13,0,100,0,69.23,-1,[]
BUDESONIDE / FORMOTEROL,ASTHMA,323,311,50.95,49.05,70.59,81.67,"['NCT04191447', 'NCT01141465', 'NCT00702325']"
TIOTROPIUM,ASTHMA,487,213,69.57,30.43,94.46,94.84,"['NCT00152984', 'NCT00776984', 'NCT01233284', 'NCT01277523', 'NCT01152450', 'NCT02573155', 'NCT02676089', 'NCT01316380', 'NCT02682862', 'NCT03964220', 'NCT01290874', 'NCT00565266', 'NCT05501639', 'NCT01634139', 'NCT02059434', 'NCT04648813', 'NCT01634113', 'NCT00557700', 'NCT03376932', 'NCT05113615', 'NCT01340209', 'NCT02066298', 'NCT01172821', 'NCT02622243', 'NCT00772538', 'NCT01172808', 'NCT02382510', 'NCT00706446', 'NCT04990167', 'NCT00557180', 'NCT01122680', 'NCT00365560', 'NCT03199976', 'NCT01257230', 'NCT00546234', 'NCT01383499', 'NCT01634152', 'NCT00350207', 'NCT01696071', 'NCT02039011', 'NCT03158311']"
IPRATROPIUM,ASTHMA,128,28,82.05,17.95,79.69,100,"['NCT05550402', 'NCT02584738', 'NCT01696214', 'NCT04167280', 'NCT02458482', 'NCT00521222', 'NCT02235428', 'NCT03296579', 'NCT00605410', 'NCT00393367', 'NCT00273962', 'NCT02182713', 'NCT00588406', 'NCT02182700', 'NCT04617015', 'NCT06074185', 'NCT00583778', 'NCT02872597', 'NCT03271905', 'NCT00460577']"
ADVAIR 500 DISKUS,ASTHMA,4,25,13.79,86.21,100,84,[]
BUDESONIDE,ASTHMA,136,29,82.42,17.58,100,100,"['NCT00238784', 'NCT00233584', 'NCT02850484', 'NCT00380484', 'NCT04494321', 'NCT01001364', 'NCT01328964', 'NCT03769090', 'NCT02233803', 'NCT00490243', 'NCT01219738', 'NCT00915538', 'NCT00658255', 'NCT01136655', 'NCT00849095', 'NCT00135681', 'NCT00641446', 'NCT02165046', 'NCT00651768', 'NCT02495168', 'NCT01266772', 'NCT01912872', 'NCT00641472', 'NCT04203472', 'NCT00449501', 'NCT00259792', 'NCT00559689', 'NCT06422689', 'NCT00624429', 'NCT04171180', 'NCT00504062', 'NCT00449527', 'NCT00661973', 'NCT00522782', 'NCT01136382', 'NCT00646620', 'NCT00859274', 'NCT00463866', 'NCT00259766', 'NCT05831566', 'NCT02224157', 'NCT00419757', 'NCT04215848', 'NCT03421730', 'NCT01444430', 'NCT00388739', 'NCT04663386', 'NCT00716963', 'NCT00159263', 'NCT01181063', 'NCT00964535', 'NCT02181335', 'NCT03033758', 'NCT01627158', 'NCT01386996', 'NCT03847896', 'NCT01117116', 'NCT01070524', 'NCT00252824', 'NCT04191434', 'NCT04032834', 'NCT02771717', 'NCT00442117', 'NCT02446418', 'NCT00189436', 'NCT01219036', 'NCT02149199', 'NCT02725242', 'NCT06429475', 'NCT00000575', 'NCT00242775', 'NCT00228475', 'NCT02991859', 'NCT03015259', 'NCT00419952', 'NCT01269437', 'NCT03487809', 'NCT00646009', 'NCT02757209', 'NCT01070888', 'NCT02853578', 'NCT03055793', 'NCT05689983', 'NCT01423305', 'NCT02187445', 'NCT03369847', 'NCT04191447', 'NCT00272753', 'NCT00326053', 'NCT00691951', 'NCT02573233', 'NCT02165033', 'NCT02455687', 'NCT01676987', 'NCT00413387', 'NCT00627679', 'NCT00288379', 'NCT02162784', 'NCT00675584', 'NCT00652002', 'NCT01511302', 'NCT00646321', 'NCT01360021', 'NCT01668121', 'NCT00290264', 'NCT00234390', 'NCT03879590', 'NCT02318043', 'NCT00327808', 'NCT01200108', 'NCT00244608', 'NCT05152355', 'NCT01803555', 'NCT00255255', 'NCT00641914', 'NCT01167010', 'NCT00706446', 'NCT00576069', 'NCT03563001', 'NCT00393367', 'NCT00667992', 'NCT00092092', 'NCT00462592', 'NCT00652392', 'NCT00646529', 'NCT05111262', 'NCT01484691', 'NCT00646594', 'NCT04705727', 'NCT00487773', 'NCT00733473', 'NCT04016220', 'NCT01141465', 'NCT05562466', 'NCT01593826', 'NCT03073057', 'NCT00232648', 'NCT02048930', 'NCT00702325', 'NCT00642122', 'NCT00479739', 'NCT02091986', 'NCT02062463', 'NCT00252863', 'NCT00646516', 'NCT01293734', 'NCT00733317', 'NCT01055041', 'NCT00939341', 'NCT01340118', 'NCT01225913', 'NCT00536913', 'NCT01225549', 'NCT00319306', 'NCT00588406', 'NCT00554970', 'NCT02574975', 'NCT00855959', 'NCT01179152', 'NCT04892732', 'NCT00252785', 'NCT00471809', 'NCT05322707', 'NCT01520688', 'NCT00319488', 'NCT00385593', 'NCT00235911', 'NCT00242411', 'NCT00509028', 'NCT00642161', 'NCT04933383', 'NCT01687283', 'NCT03034005', 'NCT01524198', 'NCT02308098', 'NCT02934945', 'NCT00651547', 'NCT00997477', 'NCT01973751', 'NCT06245551', 'NCT00651651', 'NCT00989833', 'NCT00642187']"
SALBUTAMOL AND IPRATROPIUM BROMIDE,ASTHMA,332,272,54.97,45.03,98.8,97.06,[]
DESOXIMETASONE,ASTHMA,57,0,100,0,100,-1,[]
ADVAIR,ASTHMA,324,201,61.71,38.29,93.21,99,"['NCT02251379', 'NCT02245672', 'NCT03394989', 'NCT00296491', 'NCT00646620', 'NCT02215122', 'NCT01907334', 'NCT03535870', 'NCT01192178', 'NCT02649478', 'NCT05664061', 'NCT01475721', 'NCT00400608', 'NCT00461812', 'NCT01772368', 'NCT02437604', 'NCT01462344', 'NCT02260492', 'NCT00646594', 'NCT01967173', 'NCT00385463', 'NCT00250341', 'NCT03676413', 'NCT00867737', 'NCT02175771']"
MONTELUKAST,ASTHMA,788,299,72.49,27.51,92.64,96.32,"['NCT00666679', 'NCT00353184', 'NCT00380484', 'NCT00162864', 'NCT01328964', 'NCT00490243', 'NCT00117338', 'NCT00442338', 'NCT00148408', 'NCT00395408', 'NCT00565955', 'NCT00394355', 'NCT05457855', 'NCT00045955', 'NCT00961155', 'NCT01696214', 'NCT00559546', 'NCT00676468', 'NCT01414868', 'NCT01266772', 'NCT00641472', 'NCT00721240', 'NCT01147744', 'NCT01156792', 'NCT00092989', 'NCT00296491', 'NCT01725360', 'NCT01730027', 'NCT03372473', 'NCT00092131', 'NCT01615874', 'NCT01624974', 'NCT00127166', 'NCT00296530', 'NCT01329939', 'NCT00540839', 'NCT00543686', 'NCT00712335', 'NCT00655616', 'NCT00116324', 'NCT00936624', 'NCT01536041', 'NCT03269318', 'NCT00756418', 'NCT01659918', 'NCT00328718', 'NCT01404013', 'NCT01103349', 'NCT01606306', 'NCT00090142', 'NCT00245570', 'NCT00229970', 'NCT03380975', 'NCT02483975', 'NCT01248975', 'NCT00770900', 'NCT02761252', 'NCT00461032', 'NCT00664937', 'NCT00935415', 'NCT00675285', 'NCT00284856', 'NCT02889809', 'NCT00445107', 'NCT01526161', 'NCT00739297', 'NCT00092105', 'NCT01659905', 'NCT00536705', 'NCT01951898', 'NCT01016847', 'NCT00947453', 'NCT00398151', 'NCT02110654', 'NCT01061333', 'NCT00856687', 'NCT01007721', 'NCT01224964', 'NCT01841164', 'NCT00491790', 'NCT00832455', 'NCT01656395', 'NCT00140881', 'NCT02720081', 'NCT01581710', 'NCT01147510', 'NCT00489346', 'NCT00504946', 'NCT00140946', 'NCT00494572', 'NCT00395304', 'NCT00783601', 'NCT00968201', 'NCT01304901', 'NCT00092144', 'NCT00545844', 'NCT01659892', 'NCT01765192', 'NCT00092092', 'NCT00462592', 'NCT01618929', 'NCT00424580', 'NCT00755794', 'NCT03238560', 'NCT03096327', 'NCT01086527', 'NCT01488773', 'NCT00487773', 'NCT02758873', 'NCT00359073', 'NCT01659931', 'NCT00875082', 'NCT02104674', 'NCT00289874', 'NCT01241422', 'NCT02658422', 'NCT04322422', 'NCT01621386', 'NCT01437735', 'NCT01121016', 'NCT00545324', 'NCT02635334', 'NCT01055041', 'NCT05819541', 'NCT03369119', 'NCT00156819', 'NCT02029313', 'NCT01770899', 'NCT01943942', 'NCT03277170', 'NCT00337675', 'NCT00442559', 'NCT00213252', 'NCT01011452', 'NCT00157937', 'NCT00092885', 'NCT00446056', 'NCT00471809', 'NCT00636207', 'NCT00319488', 'NCT00913328', 'NCT00700661', 'NCT00943683', 'NCT00943397', 'NCT00115297', 'NCT00380705', 'NCT00196547', 'NCT00911547', 'NCT01551147', 'NCT00311051', 'NCT01863654']"
ADVAIR DISKUS,ASTHMA,18,8,69.23,30.77,100,100,"['NCT02251379', 'NCT03394989', 'NCT00296491', 'NCT00646620', 'NCT01907334', 'NCT03535870', 'NCT02649478', 'NCT05664061', 'NCT00400608', 'NCT01772368', 'NCT02260492', 'NCT01967173', 'NCT00385463', 'NCT03676413', 'NCT02175771']"
ALBUTEROL,ASTHMA,1218,442,73.37,26.63,91.95,85.75,"['NCT02040779', 'NCT02966184', 'NCT01479621', 'NCT00054964', 'NCT03769090', 'NCT03137303', 'NCT02969408', 'NCT01431950', 'NCT00577655', 'NCT02528214', 'NCT01323010', 'NCT00144846', 'NCT04207840', 'NCT01471340', 'NCT02139644', 'NCT03586544', 'NCT01899144', 'NCT01641692', 'NCT06422689', 'NCT00634829', 'NCT05035862', 'NCT00565591', 'NCT03363191', 'NCT02513160', 'NCT00124176', 'NCT00940927', 'NCT00684827', 'NCT00073827', 'NCT02458482', 'NCT00646620', 'NCT03643874', 'NCT00684866', 'NCT02040766', 'NCT03890666', 'NCT00685425', 'NCT00521222', 'NCT02126839', 'NCT00388739', 'NCT01058863', 'NCT01252758', 'NCT03847896', 'NCT00096616', 'NCT00320034', 'NCT01907334', 'NCT00634517', 'NCT01576718', 'NCT00189436', 'NCT02678949', 'NCT02150499', 'NCT02483975', 'NCT00385359', 'NCT01856959', 'NCT04677959', 'NCT02170532', 'NCT01174732', 'NCT03376932', 'NCT00308685', 'NCT03373409', 'NCT01799109', 'NCT01218009', 'NCT00646009', 'NCT00667407', 'NCT00070707', 'NCT01143688', 'NCT01951378', 'NCT03012061', 'NCT00667797', 'NCT00635505', 'NCT04542005', 'NCT04896645', 'NCT01854047', 'NCT03528577', 'NCT02414854', 'NCT00818454', 'NCT01302587', 'NCT02162784', 'NCT02566902', 'NCT00673621', 'NCT01857323', 'NCT00410150', 'NCT00073814', 'NCT02720081', 'NCT03287310', 'NCT01772368', 'NCT06154304', 'NCT01844401', 'NCT00393367', 'NCT06052267', 'NCT02031640', 'NCT00073840', 'NCT00064389', 'NCT00394329', 'NCT01747629', 'NCT00530062', 'NCT05292976', 'NCT01698320', 'NCT02584257', 'NCT00809757', 'NCT00162422', 'NCT00685022', 'NCT00583986', 'NCT00162396', 'NCT04912596', 'NCT05819541', 'NCT01424813', 'NCT00588406', 'NCT05363670', 'NCT01056159', 'NCT03822637', 'NCT00819637', 'NCT04184609', 'NCT02924688', 'NCT00319488', 'NCT03707678', 'NCT02175771', 'NCT02741271', 'NCT01656811', 'NCT01312961', 'NCT02127697', 'NCT02872597', 'NCT03430505', 'NCT02654145', 'NCT00685347', 'NCT02073747', 'NCT00583947', 'NCT01196377', 'NCT01581177', 'NCT00000577', 'NCT06152653', 'NCT06245551', 'NCT02141854', 'NCT02499887']"
PREDNISONE,ASTHMA,2529,1256,66.82,33.18,96.52,99.2,"['NCT02780479', 'NCT02528214', 'NCT01471340', 'NCT05035862', 'NCT01615874', 'NCT03560466', 'NCT01241006', 'NCT00853411', 'NCT03133897', 'NCT02753764', 'NCT00597064', 'NCT01691508', 'NCT01260623', 'NCT00504946', 'NCT00576069', 'NCT00393367', 'NCT00361920', 'NCT00657774', 'NCT01621386', 'NCT01687296', 'NCT01193049', 'NCT00588406', 'NCT03782532', 'NCT02741271', 'NCT02499887']"
CICLESONIDE,ASTHMA,260,145,64.2,35.8,91.15,75.86,"['NCT00163384', 'NCT00525772', 'NCT00384189', 'NCT00163462', 'NCT00546520', 'NCT01248065', 'NCT01171365', 'NCT00367263', 'NCT00163358', 'NCT00608218', 'NCT00163436', 'NCT00254956', 'NCT00314509', 'NCT00163371', 'NCT00163345', 'NCT00404547', 'NCT00174733', 'NCT00163423', 'NCT00163410', 'NCT00826969', 'NCT01455194', 'NCT00174720', 'NCT00270348', 'NCT00306163', 'NCT00163319', 'NCT00163449', 'NCT01333800', 'NCT00163332', 'NCT00392288', 'NCT00163293', 'NCT00305461', 'NCT00163397', 'NCT03839433']"
GLYCOPYRRONIUM / INDACATEROL,ASTHMA,68,19,78.16,21.84,100,94.74,[]
VENTOLIN HFA,ASTHMA,46,0,100,0,91.3,-1,['NCT06154304']
MEPOLIZUMAB,ASTHMA,5195,2469,67.78,32.22,98.13,98.58,"['NCT03453021', 'NCT05139381', 'NCT05063981', 'NCT03021304', 'NCT04412044', 'NCT04718389', 'NCT06348173', 'NCT03739320', 'NCT03014674', 'NCT04765722', 'NCT06041386', 'NCT03099096', 'NCT04665141', 'NCT05642806', 'NCT05708300', 'NCT02594332', 'NCT05091385', 'NCT04823585', 'NCT01842607', 'NCT04228588', 'NCT04924478', 'NCT02555371', 'NCT04276233', 'NCT01366521', 'NCT04512521', 'NCT01691521', 'NCT00802438', 'NCT01691508', 'NCT05147155', 'NCT05598814', 'NCT03562195', 'NCT06069310', 'NCT02135692', 'NCT04550780', 'NCT02377427', 'NCT05689931', 'NCT05942222', 'NCT04641741', 'NCT05365841', 'NCT02281318', 'NCT05189613', 'NCT01000506', 'NCT01691859', 'NCT05441059', 'NCT04612556', 'NCT03476109', 'NCT03292588', 'NCT04914078', 'NCT04578171', 'NCT04585997', 'NCT02654145', 'NCT05626777', 'NCT00292877', 'NCT01520051', 'NCT05576454']"
FORMOTEROL FUMARATE DIHYDRATE,ASTHMA,12,0,100,0,0,-1,"['NCT02495168', 'NCT05831566', 'NCT03015259', 'NCT05322707']"
FLUTICASONE PROPIONATE,ASTHMA,174,32,84.47,15.53,98.85,12.5,"['NCT01681979', 'NCT00830102', 'NCT05363202', 'NCT01328964', 'NCT02466503', 'NCT01253603', 'NCT01092143', 'NCT00351143', 'NCT00424008', 'NCT00394355', 'NCT00400855', 'NCT04665895', 'NCT00169546', 'NCT03273946', 'NCT02245672', 'NCT01573767', 'NCT00557440', 'NCT01147744', 'NCT00734292', 'NCT03394989', 'NCT01563029', 'NCT02218762', 'NCT00296491', 'NCT01347060', 'NCT00353873', 'NCT01516073', 'NCT00102882', 'NCT00127166', 'NCT00273026', 'NCT01332357', 'NCT00452348', 'NCT00296530', 'NCT01845025', 'NCT00540839', 'NCT01141439', 'NCT01018186', 'NCT00716963', 'NCT00712335', 'NCT00927758', 'NCT00814216', 'NCT01117116', 'NCT01431924', 'NCT00158834', 'NCT05397834', 'NCT00328718', 'NCT02446418', 'NCT00475813', 'NCT00480649', 'NCT01400906', 'NCT01606306', 'NCT01134042', 'NCT03535870', 'NCT02991859', 'NCT04677959', 'NCT00461500', 'NCT02094937', 'NCT02496715', 'NCT02757209', 'NCT00503009', 'NCT00453778', 'NCT00369993', 'NCT05664061', 'NCT04179461', 'NCT01526161', 'NCT03756883', 'NCT00370097', 'NCT02466347', 'NCT03112577', 'NCT02730351', 'NCT01877954', 'NCT02573233', 'NCT05021887', 'NCT01435902', 'NCT01007721', 'NCT00394121', 'NCT01795664', 'NCT02740543', 'NCT03207243', 'NCT00318708', 'NCT01436110', 'NCT01159912', 'NCT00449046', 'NCT00489346', 'NCT00706446', 'NCT00394368', 'NCT00395304', 'NCT01397201', 'NCT00315744', 'NCT01332344', 'NCT01966692', 'NCT02260492', 'NCT01397162', 'NCT00370591', 'NCT00393991', 'NCT03199976', 'NCT00903227', 'NCT05776927', 'NCT00476073', 'NCT00291382', 'NCT02094274', 'NCT00102765', 'NCT00995657', 'NCT01147848', 'NCT00877539', 'NCT00479739', 'NCT01516086', 'NCT02554786', 'NCT01890863', 'NCT00448435', 'NCT01687296', 'NCT00441441', 'NCT04953741', 'NCT03676413', 'NCT00197106', 'NCT00452699', 'NCT00394199', 'NCT00364442', 'NCT02301975', 'NCT00995800', 'NCT00393952', 'NCT03879837', 'NCT01554488', 'NCT01396278', 'NCT00692978', 'NCT00843193', 'NCT02680561', 'NCT01687283', 'NCT01287351', 'NCT02980133']"
SALBUTAMOL AND BECLOMETASONE,ASTHMA,389,252,60.69,39.31,97.69,97.62,[]
"INDACATEROL, GLYCOPYRRONIUM BROMIDE AND MOMETASONE",ASTHMA,104,0,100,0,98.08,-1,[]
FLUTICASONE / VILANTEROL,ASTHMA,108,68,61.36,38.64,97.22,97.06,[]
WIXELA INHUB,ASTHMA,6,7,46.15,53.85,66.67,57.14,[]
MOMETASONE,ASTHMA,28,3,90.32,9.68,67.86,100,"['NCT00666679', 'NCT00424008', 'NCT03134755', 'NCT00394355', 'NCT01118312', 'NCT00967967', 'NCT00557440', 'NCT01471340', 'NCT00599027', 'NCT00711165', 'NCT04892758', 'NCT00442117', 'NCT00383552', 'NCT03011632', 'NCT00381485', 'NCT00070707', 'NCT00379288', 'NCT01609478', 'NCT01502371', 'NCT02066298', 'NCT01555151', 'NCT02110654', 'NCT02573233', 'NCT01061333', 'NCT02415179', 'NCT01258803', 'NCT00461812', 'NCT00576069', 'NCT00383240', 'NCT00835094', 'NCT00556673', 'NCT00687531', 'NCT00635882', 'NCT00746330', 'NCT02554786', 'NCT04589663', 'NCT01566149', 'NCT00605306', 'NCT00521599', 'NCT01210170', 'NCT01026870', 'NCT00604500', 'NCT01635088', 'NCT00941798']"
BUDESONIDE AND FORMOTEROL FUMARATE,ASTHMA,13,0,100,0,100,-1,['NCT02062463']
FLUTICASONE PROPIONATE/SALMETEROL XINAFOATE,ASTHMA,56,5,91.8,8.2,100,100,"['NCT02218762', 'NCT01347060', 'NCT01431924']"
"THEOPHYLLINE, COMBINATIONS EXCL. PSYCHOLEPTICS",ASTHMA,16,34,32,68,100,100,[]
FENOTEROL AND IPRATROPIUM BROMIDE,ASTHMA,11,0,100,0,100,-1,[]
ACLIDINIUM / FORMOTEROL,ASTHMA,251,24,91.27,8.73,96.41,100,[]
BUDESONIDE/FORMOTEROL FUMARATE,ASTHMA,324,297,52.17,47.83,96.3,97.31,"['NCT02495168', 'NCT05831566', 'NCT04215848', 'NCT03015259']"
TERBUTALINE SULFATE,ASTHMA,10,27,27.03,72.97,100,96.3,[]
"FORMOTEROL, GLYCOPYRRONIUM BROMIDE AND BECLOMETASONE",ASTHMA,49,0,100,0,95.92,-1,[]
GLYCOPYRRONIUM,ASTHMA,63,0,100,0,88.89,-1,"['NCT03137784', 'NCT02975843', 'NCT03795350', 'NCT02953041', 'NCT02622243', 'NCT05222529', 'NCT02433834']"
"VILANTEROL, UMECLIDINIUM BROMIDE AND FLUTICASONE FUROATE",ASTHMA,105,5,95.45,4.55,95.24,100,[]
FORMOTEROL FUMARATE DIHYDRATE/BUDESONIDE,ASTHMA,47,3,94,6,78.72,100,[]
GUAIFENESIN/SALBUTAMOL SULFATE,ASTHMA,23,0,100,0,0,-1,[]
NAPROXEN,ASTHMA,70,0,100,0,100,-1,[]
FORMOTEROL FUMARATE/MOMETASONE FUROATE,ASTHMA,23,12,65.71,34.29,100,100,[]
FLUTICASONE,ASTHMA,97,27,78.23,21.77,100,100,"['NCT01255579', 'NCT01681979', 'NCT01498679', 'NCT01086384', 'NCT00830102', 'NCT05363202', 'NCT01328964', 'NCT02466503', 'NCT01253603', 'NCT01430403', 'NCT01092143', 'NCT00351143', 'NCT00424008', 'NCT01431950', 'NCT00394355', 'NCT05457855', 'NCT00400855', 'NCT01696214', 'NCT04665895', 'NCT01086410', 'NCT01499446', 'NCT00169546', 'NCT03273946', 'NCT02245672', 'NCT00695604', 'NCT00736801', 'NCT01573767', 'NCT00557440', 'NCT01147744', 'NCT03060044', 'NCT01332292', 'NCT00734292', 'NCT03394989', 'NCT01563029', 'NCT00504062', 'NCT02218762', 'NCT00296491', 'NCT03363191', 'NCT01347060', 'NCT04503460', 'NCT03461627', 'NCT00238927', 'NCT02266927', 'NCT02388373', 'NCT00353873', 'NCT01516073', 'NCT03238482', 'NCT00102882', 'NCT00646620', 'NCT00127166', 'NCT00273026', 'NCT01209026', 'NCT00829257', 'NCT01332357', 'NCT00452348', 'NCT00296530', 'NCT00409630', 'NCT01231230', 'NCT01845025', 'NCT00649025', 'NCT00521222', 'NCT00540839', 'NCT02063139', 'NCT01141439', 'NCT01808339', 'NCT01018186', 'NCT03063086', 'NCT00543686', 'NCT00567463', 'NCT00716963', 'NCT00712335', 'NCT00927758', 'NCT00625196', 'NCT06372496', 'NCT00814216', 'NCT01117116', 'NCT01431924', 'NCT02502734', 'NCT00158834', 'NCT05397834', 'NCT03387241', 'NCT00705341', 'NCT00328718', 'NCT02446418', 'NCT00475813', 'NCT02678949', 'NCT00480649', 'NCT01400906', 'NCT01606306', 'NCT02953106', 'NCT01134042', 'NCT03535870', 'NCT00242775', 'NCT02991859', 'NCT04677959', 'NCT00461500', 'NCT03387852', 'NCT00497237', 'NCT02094937', 'NCT02496715', 'NCT01741285', 'NCT00284856', 'NCT02889809', 'NCT00646009', 'NCT02757209', 'NCT00503009', 'NCT00402207', 'NCT00379288', 'NCT00453778', 'NCT02649478', 'NCT01436071', 'NCT00301171', 'NCT00369993', 'NCT05664061', 'NCT04179461', 'NCT01526161', 'NCT03012061', 'NCT00404261', 'NCT03756883', 'NCT00509197', 'NCT01202097', 'NCT00370097', 'NCT04265105', 'NCT00830505', 'NCT02466347', 'NCT03112577', 'NCT02571777', 'NCT02730351', 'NCT01877954', 'NCT02573233', 'NCT01537133', 'NCT05021887', 'NCT02415179', 'NCT01202084', 'NCT01244984', 'NCT01435902', 'NCT01007721', 'NCT00394121', 'NCT01795664', 'NCT04750603', 'NCT02740543', 'NCT03207243', 'NCT02318043', 'NCT01165138', 'NCT00292838', 'NCT00318708', 'NCT01453023', 'NCT00623714', 'NCT01128595', 'NCT01437995', 'NCT01436110', 'NCT01881412', 'NCT02753712', 'NCT01159912', 'NCT00449046', 'NCT00489346', 'NCT00706446', 'NCT00576069', 'NCT01128569', 'NCT00394368', 'NCT00395304', 'NCT01397201', 'NCT00315744', 'NCT01332344', 'NCT01966692', 'NCT02260492', 'NCT02066129', 'NCT02061280', 'NCT00363480', 'NCT01397162', 'NCT00370591', 'NCT00393991', 'NCT00646594', 'NCT03199976', 'NCT00903227', 'NCT05776927', 'NCT00476073', 'NCT00556673', 'NCT00291382', 'NCT02094274', 'NCT00102765', 'NCT01141465', 'NCT03898466', 'NCT00995657', 'NCT01147848', 'NCT01332422', 'NCT04271839', 'NCT00877539', 'NCT00479739', 'NCT01516086', 'NCT02554786', 'NCT01711463', 'NCT00306163', 'NCT01890863', 'NCT00252863', 'NCT00448435', 'NCT01299558', 'NCT01687296', 'NCT00545324', 'NCT00441441', 'NCT04953741', 'NCT00156819', 'NCT00214019', 'NCT02403713', 'NCT01225913', 'NCT03676413', 'NCT01213849', 'NCT00197106', 'NCT00187499', 'NCT00452699', 'NCT00394199', 'NCT00606242', 'NCT00364442', 'NCT02491970', 'NCT02301975', 'NCT00995800', 'NCT03315000', 'NCT00393952', 'NCT03879837', 'NCT00079937', 'NCT02162485', 'NCT00980707', 'NCT01520688', 'NCT01554488', 'NCT02924688', 'NCT01396278', 'NCT00692978', 'NCT01836471', 'NCT00843193', 'NCT03158311', 'NCT01312961', 'NCT02680561', 'NCT01687283', 'NCT02577497', 'NCT01000597', 'NCT01706198', 'NCT01242098', 'NCT01485445', 'NCT02712047', 'NCT00235053', 'NCT01287351', 'NCT01686633', 'NCT02980133']"
IPRATROPIUM BROMIDE/SALBUTAMOL SULFATE,ASTHMA,15,43,25.86,74.14,100,100,[]
RESLIZUMAB,ASTHMA,19,14,57.58,42.42,100,85.71,"['NCT02937168', 'NCT02501629', 'NCT02559791', 'NCT03369574', 'NCT03052725', 'NCT04710134', 'NCT04665141', 'NCT03074942', 'NCT00587288', 'NCT01290887', 'NCT01270464', 'NCT02452190', 'NCT01285323', 'NCT01287039', 'NCT01508936', 'NCT02947945']"
FLUTICASONE FUROATE/VILANTEROL TRIFENATATE,ASTHMA,17,20,45.95,54.05,100,100,['NCT01498679']
BECLOMETHASONE,ASTHMA,36,7,83.72,16.28,100,100,"['NCT02040779', 'NCT00395408', 'NCT00497523', 'NCT03834012', 'NCT00109668', 'NCT00476268', 'NCT02139644', 'NCT01584492', 'NCT01113489', 'NCT00559689', 'NCT01658891', 'NCT02513160', 'NCT00565266', 'NCT02040766', 'NCT01141439', 'NCT05292586', 'NCT00094016', 'NCT01650441', 'NCT00497237', 'NCT01741285', 'NCT00402207', 'NCT00000578', 'NCT03369847', 'NCT00413387', 'NCT00862264', 'NCT01006655', 'NCT00394368', 'NCT01468272', 'NCT02787967', 'NCT00200967', 'NCT02031640', 'NCT00382889', 'NCT00394329', 'NCT00557180', 'NCT01450774', 'NCT00119496', 'NCT01400217', 'NCT03084718', 'NCT01333800', 'NCT01475032', 'NCT01520688', 'NCT03835871', 'NCT00936793', 'NCT02345993', 'NCT02577497', 'NCT02298205', 'NCT00911547', 'NCT01142947', 'NCT01224951']"
FLOVENT DISKUS,ASTHMA,18,0,100,0,100,-1,"['NCT02251379', 'NCT01479621', 'NCT04665895', 'NCT00716963', 'NCT05397834', 'NCT01907334', 'NCT01576718', 'NCT00071552', 'NCT05021887', 'NCT01967173']"
THEOPHYLLINE,ASTHMA,25,0,100,0,100,-1,"['NCT01696214', 'NCT03269318', 'NCT00756418', 'NCT00000578', 'NCT01132781', 'NCT02537691', 'NCT00252863', 'NCT00119496', 'NCT01293734', 'NCT00157937', 'NCT00252785', 'NCT02023554']"
OLODATEROL HYDROCHLORIDE/TIOTROPIUM BROMIDE MONOHYDRATE,ASTHMA,0,11,0,100,-1,100,[]
FLUTICASONE PROPIONATE AND SALMETEROL,ASTHMA,0,20,0,100,-1,100,"['NCT02245672', 'NCT01117116', 'NCT03756883', 'NCT02573233', 'NCT02260492']"
